@_STATE,State,Total_under18,drug_violations_under18,Total_allages,drug_violations_allages
1,Alabama,3578,130,126404,8217
2,Alaska,1687,183,30620,1046
4,Arizona,20478,3239,256785,32272
5,Arkansas,7697,925,120240,17954
6,California,42958,2967,1093080,219251
8,Colorado,17906,2257,193216,16172
9,Connecticut,7106,489,95709,8087
10,Delaware,2851,279,28742,3707
11,DC,505,10,13682,290
12,Florida,48213,5399,715424,134142
13,Georgia,15400,2053,200643,37291
15,Hawaii,1762,337,24487,1873
16,Idaho,5993,928,52292,8777
17,Illinois,7366,834,86947,17060
18,Indiana,8831,1155,125536,25058
19,Iowa,,,,
20,Kansas,1639,202,32837,2242
21,Kentucky,2985,257,205075,19355
22,Louisiana,16533,1496,176520,30437
23,Maine,2845,304,40851,3692
24,Maryland,17825,2046,181434,31914
25,Massachusetts,4508,132,101681,7125
26,Michigan,13267,1668,235757,30320
27,Minnesota,19391,1698,147370,20404
28,Mississippi,2453,190,60902,8003
29,Missouri,15560,2018,197865,32982
30,Montana,3722,358,27357,2732
31,Nebraska,6985,1006,53007,8993
32,Nevada,10026,1244,140967,11238
33,New Hampshire,3283,344,46413,6522
34,New Jersey,11513,2769,226427,48008
35,New Mexico,3203,472,74786,5375
36,New York,14434,2643,244041,69571
37,North Carolina,11088,1414,200411,26936
38,North Dakota,4009,429,33210,5448
39,Ohio,20003,1675,218433,39708
40,Oklahoma,7701,1146,101053,17766
41,Oregon,8618,1653,125230,13605
42,Pennsylvania,36034,3231,345822,61934
44,Rhode Island,2373,104,25996,2049
45,South Carolina,10803,1957,152664,34105
46,South Dakota,4886,819,44268,8108
47,Tennessee,19692,2380,330989,47876
48,Texas,55458,9893,729902,139188
49,Utah,12307,2258,104886,19562
50,Vermont,702,38,14334,902
51,Virginia,15864,2132,268094,45409
53,Washington,10996,1053,171466,11283
54,West Virginia,496,67,29202,6044
55,Wisconsin,35109,3150,245015,31066
56,Wyoming,3191,580,28437,4895
66,Guam,,,,
72,Puerto Rico,,,,
