@_STATE,State,MARIJANA_18
1,Alabama,0
2,Alaska,0
4,Arizona,0
5,Arkansas,0
6,California,21823
8,Colorado,0
9,Connecticut,0
10,Delaware,0
11,DC,0
12,Florida,16650
13,Georgia,0
15,Hawaii,0
16,Idaho,3495
17,Illinois,0
18,Indianna,0
19,Iowa,0
20,Kansas,0
21,Kentucky,0
22,Louisiana,0
23,Maine,0
24,Maryland,12937
25,Massachusetts,0
26,Michigan,0
27,Minnesota,16040
28,Mississippi,0
29,Missouri,0
30,Montana,8421
31,Nebraska,0
32,Nevada,0
33,New Hampshire,5763
34,New Jersey,0
35,New Mexico,0
36,New York,0
37,North Carolina,0
38,North Dakota,2984
39,Ohio,10711
40,Oklahoma,0
41,Oregon,0
42,Pennsylvania,0
44,Rhode Island,0
45,South Carolina,6861
46,South Dakota,0
47,Tennessee,4691
48,Texas,0
49,Utah,0
50,Vermont,0
51,Virginia,0
53,Washington,0
54,West Virginia,3944
55,Wisconsin,0
56,Wyoming,3102
66,Guam,677
72,Puerto Rico,3113
